epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.40704,2.70042,4.23146,2.06486,0.00833,0.71429,0.54972,0.21979,2.17628,2.95222,1.95198,2e-05,2e-05,2e-05
2,18.6412,2.68357,7.38573,2.32107,0.00833,0.71429,0.57955,0.23213,2.09874,2.91934,1.87277,5.406e-05,5.406e-05,5.406e-05
3,28.6391,2.44792,4.32025,2.32992,0.00833,0.71429,0.54931,0.18562,2.09988,2.88784,1.76318,8.02e-05,8.02e-05,8.02e-05
4,38.3884,2.45886,4.40384,2.19043,0.00833,0.71429,0.52068,0.15938,2.06327,2.90075,1.72972,9.842e-05,9.842e-05,9.842e-05
5,46.7062,2.00386,5.37251,2.02447,0.00833,0.71429,0.43541,0.14258,2.03428,2.90995,1.64174,0.00010872,0.00010872,0.00010872
6,56.2079,2.17322,4.06734,1.9618,0.00833,0.71429,0.43541,0.14258,2.03428,2.90995,1.64174,0.0001111,0.0001111,0.0001111
7,64.5193,2.21223,4.12394,1.88976,0.00833,0.71429,0.41908,0.16967,2.04027,2.91094,1.61677,0.00010556,0.00010556,0.00010556
8,74.7722,1.84886,4.41681,1.9018,0.00833,0.71429,0.3669,0.15754,2.08461,2.92519,1.59766,9.21e-05,9.21e-05,9.21e-05
9,86.8372,1.78462,3.49748,1.73144,0.00833,0.71429,0.3669,0.15754,2.08461,2.92519,1.59766,7.072e-05,7.072e-05,7.072e-05
10,98.7536,1.97063,3.72455,1.76777,0.01,0.85714,0.36825,0.15219,2.13101,2.94082,1.59407,4.142e-05,4.142e-05,4.142e-05
